x1,x2,x3
0.08,14.7,24.8
0.25298221281347033,14.7,24.8
0.8,14.7,24.8
2.5298221281347035,14.7,24.8
8.0,14.7,24.75
25.298221281347036,14.75,24.7
80.0,14.8,24.65
252.98221281347034,14.85,24.55
800.0,15.0,24.35
2529.8221281347037,15.2,24.0
8000.0,15.5,23.5
25298.221281347036,15.85,22.75
80000.0,16.15,21.75
252982.21281347034,16.35,20.6
800000.0,16.4,19.45
2.5298221281347033e6,16.45,18.5
8.0e6,16.45,17.85
