x1,x2,x3,x4
0.08,2.3741027099981213,2.24179563821069,2.1443707655255184
0.25298221281347033,2.374128126181997,2.2417342498060604,2.1443633592522415
0.8,2.3741733231019593,2.2416250032037857,2.1443502021294436
2.5298221281347035,2.3742536949740507,2.2414304798587943,2.1443268470431778
8.0,2.3743966136706876,2.241083783881133,2.1442854472551334
25.298221281347036,2.3746507352245403,2.2404649043449076,2.144212241253012
80.0,2.3751024780160837,2.2393575096965868,2.1440833527477188
252.98221281347034,2.375904925866246,2.2373699488465943,2.1438581399506327
800.0,2.377327007009012,2.233796275064175,2.143469725277693
2529.8221281347037,2.3798289692768977,2.227415154832464,2.1428144676862177
8000.0,2.3841371945679595,2.2164234809017356,2.141748082631013
25298.221281347036,2.3911473618614116,2.1992489661511176,2.1401060040579494
80000.0,2.401317717777934,2.176479971093375,2.1377676807412955
252982.21281347034,2.41399550244596,2.151166134408123,2.13475065482707
800000.0,2.427992899678001,2.1399045583767666,2.131254847124902
2.5298221281347033e6,2.442510828775339,2.136218659208505,2.1275804185628826
8.0e6,2.4572071490428575,2.1326339331202733,2.1239723871989225
