Time(s),Current(A),Voltage(V)
0.0,-0.00011061341268,2.4593728542
10.0,-3.899977111467155,2.38399328603
20.0,-3.9002059967956053,2.384908827344
30.0,-3.899824521248188,2.385214007782
40.0,-3.899900816357671,2.385214007782
50.0,-3.899824521248188,2.385214007782
60.0,-3.899900816357671,2.385366598001
70.0,-3.899900816357671,2.385214007782
80.0,-3.899900816357671,2.384908827344
90.0,-3.899977111467155,2.384908827344
100.0,-3.899900816357671,2.384756237125
110.0,-3.900053406576638,2.384603646906
120.0,-3.900053406576638,2.384451056687
130.0,-3.899977111467155,2.384145876249
140.0,-3.899977111467155,2.38399328603
150.0,-3.899824521248188,2.383840695811
160.0,-3.899900816357671,2.383840695811
170.0,-3.899977111467155,2.383688105592
180.0,-3.899900816357671,2.383535515373
190.0,-3.899900816357671,2.382925154498
200.0,-3.899977111467155,2.383077744717
210.0,-3.899977111467155,2.383077744717
220.0,-3.899977111467155,2.382772564279
230.0,-3.899824521248188,2.38261997406
240.0,-3.899977111467155,2.382467383841
250.0,-3.899900816357671,2.382467383841
260.0,-3.899900816357671,2.382162203403
270.0,-3.900053406576638,2.382162203403
280.0,-3.899977111467155,2.382162203403
290.0,-3.899977111467155,2.381857022965
300.0,-3.899977111467155,2.381704432746
310.0,-3.899824521248188,2.381704432746
320.0,-3.9001297016861223,2.381399252308
330.0,-3.899900816357671,2.381399252308
340.0,-3.899900816357671,2.381246662089
350.0,-3.899977111467155,2.380941481651
360.0,-3.899977111467155,2.380941481651
370.0,-3.900053406576638,2.380941481651
380.0,-3.899977111467155,2.380788891432
390.0,-3.899824521248188,2.380636301213
400.0,-3.900053406576638,2.380483710994
410.0,-3.899900816357671,2.380483710994
420.0,-3.899977111467155,2.380331120775
430.0,-3.899977111467155,2.379873350118
440.0,-3.899671931029221,2.379873350118
450.0,-3.899977111467155,2.379720759899
460.0,-3.899900816357671,2.379720759899
470.0,-3.899824521248188,2.379415579461
480.0,-3.899900816357671,2.379415579461
490.0,-3.899900816357671,2.379110399023
500.0,-3.899900816357671,2.378957808804
510.0,-3.900053406576638,2.378957808804
520.0,-3.899977111467155,2.378957808804
530.0,-3.900053406576638,2.378652628367
540.0000000000073,-3.899824521248188,2.378652628367
549.9999999999927,-3.899977111467155,2.378652628367
560.0,-3.899977111467155,2.37819485771
570.0000000000073,-3.899977111467155,2.37819485771
579.9999999999927,-3.900053406576638,2.37819485771
590.0,-3.899977111467155,2.377889677272
600.0000000000073,-3.899977111467155,2.377889677272
609.9999999999927,-3.900053406576638,2.377737087053
620.0,-3.899977111467155,2.377889677272
630.0000000000073,-3.899900816357671,2.377737087053
639.9999999999927,-3.900053406576638,2.377584496834
650.0,-3.899900816357671,2.377431906615
660.0000000000073,-3.899977111467155,2.377279316396
669.9999999999927,-3.899977111467155,2.376821545739
680.0,-3.899900816357671,2.376974135958
690.0000000000073,-3.9001297016861223,2.376821545739
699.9999999999927,-3.899900816357671,2.37666895552
710.0,-3.9001297016861223,2.376821545739
720.0000000000073,-3.899977111467155,2.376058594644
729.9999999999927,-3.900053406576638,2.376363775082
740.0,-3.900053406576638,2.375753414206
750.0000000000073,-3.9001297016861223,2.375906004425
759.9999999999927,-3.899824521248188,2.375906004425
770.0,-3.899824521248188,2.375600823987
780.0000000000073,-3.899900816357671,2.375448233768
789.9999999999927,-3.899977111467155,2.375448233768
800.0,-3.899900816357671,2.37514305333
810.0000000000073,-3.899900816357671,2.374990463111
819.9999999999927,-3.900053406576638,2.374990463111
830.0,-3.899977111467155,2.374990463111
840.0000000000073,-3.899824521248188,2.374685282673
849.9999999999927,-3.899824521248188,2.374380102235
860.0,-3.899748226138704,2.374685282673
870.0000000000073,-3.899977111467155,2.374380102235
879.9999999999927,-3.899824521248188,2.374074921798
890.0,-3.900053406576638,2.373922331579
900.0000000000073,-3.899977111467155,2.37376974136
909.9999999999927,-3.899824521248188,2.373922331579
920.0,-3.899977111467155,2.373617151141
930.0000000000073,-3.899977111467155,2.373617151141
939.9999999999927,-3.899977111467155,2.373311970703
950.0,-3.9001297016861223,2.373311970703
960.0000000000073,-3.899900816357671,2.373159380484
969.9999999999927,-3.899977111467155,2.372701609827
980.0,-3.899824521248188,2.372396429389
990.0000000000073,-3.899900816357671,2.372549019608
999.9999999999927,-3.899977111467155,2.372701609827
1010.0,-3.899824521248188,2.372549019608
1020.0000000000073,-3.899671931029221,2.372091248951
1029.9999999999927,-3.9001297016861223,2.371786068513
1040.0,-3.899824521248188,2.371938658732
1050.0000000000073,-3.899824521248188,2.371938658732
1059.9999999999927,-3.900053406576638,2.371786068513
1070.0,-3.899977111467155,2.371328297856
1080.0000000000073,-3.899977111467155,2.371480888075
1089.9999999999927,-3.899977111467155,2.371175707637
1100.0,-3.899900816357671,2.371175707637
1110.0000000000073,-3.899900816357671,2.370870527199
1119.9999999999927,-3.900053406576638,2.370870527199
1130.0,-3.899977111467155,2.37071793698
1140.0000000000073,-3.899824521248188,2.370412756542
1149.9999999999927,-3.899977111467155,2.370260166323
1160.0,-3.899900816357671,2.370260166323
1170.0000000000073,-3.900053406576638,2.370107576104
1179.9999999999927,-3.899977111467155,2.370107576104
1190.0,-3.899977111467155,2.369649805447
1200.0000000000073,-3.899748226138704,2.369649805447
1209.9999999999927,-3.900053406576638,2.369497215229
1220.0,-3.899900816357671,2.36934462501
1230.0000000000073,-3.900053406576638,2.369192034791
1239.9999999999927,-3.899900816357671,2.369039444572
1250.0,-3.899900816357671,2.369192034791
1260.0000000000073,-3.899900816357671,2.368581673915
1269.9999999999927,-3.899977111467155,2.368581673915
1280.0,-3.9002059967956053,2.368429083696
1290.0000000000073,-3.900053406576638,2.368276493477
1299.9999999999927,-3.899977111467155,2.367971313039
1310.0,-3.899824521248188,2.36781872282
1320.0000000000073,-3.899977111467155,2.36781872282
1329.9999999999927,-3.900053406576638,2.367666132601
1340.0,-3.899900816357671,2.367513542382
1350.0000000000073,-3.900053406576638,2.367360952163
1359.9999999999927,-3.899977111467155,2.367055771725
1370.0,-3.899824521248188,2.367208361944
1380.0000000000073,-3.9001297016861223,2.366750591287
1389.9999999999927,-3.899977111467155,2.366903181506
1400.0,-3.899977111467155,2.366445410849
1410.0000000000073,-3.900053406576638,2.36629282063
1419.9999999999927,-3.899900816357671,2.366140230411
1430.0,-3.899900816357671,2.365835049973
1440.0000000000073,-3.899824521248188,2.365835049973
1449.9999999999927,-3.899977111467155,2.365682459754
1460.0,-3.899977111467155,2.365529869535
1470.0000000000073,-3.899977111467155,2.365377279316
1479.9999999999927,-3.900053406576638,2.365224689097
1490.0,-3.899748226138704,2.364919508659
1500.0000000000073,-3.899977111467155,2.364766918441
1509.9999999999927,-3.900053406576638,2.364766918441
1520.0,-3.900053406576638,2.364309147784
1530.0000000000073,-3.899977111467155,2.364461738003
1539.9999999999927,-3.899900816357671,2.364003967346
