Time(s),Current(A),Voltage(V)
0.0,9.7166399634e-05,2.107957579919
10.0,3.9001297016861223,2.195696955825
20.0,3.899900816357671,2.205615320058
30.0,3.900053406576638,2.210803387503
40.0,3.899977111467155,2.21416037232
50.0,3.899900816357671,2.216601815824
60.0,3.899900816357671,2.218280308232
70.0,3.899824521248188,2.219653620203
80.0,3.899900816357671,2.220721751736
90.0,3.899900816357671,2.221484702831
100.0,3.899977111467155,2.222247653925
110.0,3.9001297016861223,2.222705424582
120.0,3.899977111467155,2.223163195239
130.0,3.899900816357671,2.223468375677
140.0,3.900053406576638,2.223468375677
150.0,3.899900816357671,2.223468375677
160.0,3.899900816357671,2.223773556115
170.0,3.899977111467155,2.223773556115
180.0,3.900053406576638,2.223773556115
190.0,3.9001297016861223,2.223773556115
200.0,3.899977111467155,2.223773556115
210.0,3.899977111467155,2.223620965896
220.0,3.899748226138704,2.223773556115
230.0,3.899748226138704,2.223620965896
240.0,3.900053406576638,2.223468375677
250.0,3.899900816357671,2.223315785458
260.0,3.899977111467155,2.223163195239
270.0,3.900053406576638,2.223315785458
280.0,3.899824521248188,2.22301060502
290.0,3.899977111467155,2.222858014801
300.0,3.899977111467155,2.222705424582
310.0,3.899900816357671,2.222705424582
320.0,3.899900816357671,2.222400244144
330.0,3.899977111467155,2.222400244144
340.0,3.899824521248188,2.222247653925
350.0,3.9001297016861223,2.222095063706
360.0,3.9001297016861223,2.221942473487
370.0,3.899824521248188,2.221484702831
380.0,3.899977111467155,2.221332112612
390.0,3.900053406576638,2.221332112612
400.0,3.900053406576638,2.221179522393
410.0,3.900053406576638,2.221026932174
420.0,3.900053406576638,2.220874341955
430.0,3.899977111467155,2.220721751736
440.0,3.899824521248188,2.220721751736
450.0,3.899824521248188,2.220569161517
460.0,3.900053406576638,2.220569161517
470.0,3.899900816357671,2.220263981079
480.0,3.899977111467155,2.220263981079
490.0,3.899824521248188,2.22011139086
500.0,3.899824521248188,2.22011139086
510.0,3.9001297016861223,2.219958800641
520.0,3.899977111467155,2.219958800641
530.0,3.899977111467155,2.219501029984
540.0,3.899977111467155,2.219653620203
550.0,3.899900816357671,2.219653620203
560.0,3.899900816357671,2.219501029984
570.0,3.899977111467155,2.219195849546
580.0,3.9001297016861223,2.219501029984
590.0,3.899977111467155,2.219195849546
600.0,3.899977111467155,2.218890669108
610.0,3.900053406576638,2.219043259327
620.0,3.900053406576638,2.218890669108
630.0,3.899977111467155,2.219043259327
640.0,3.899977111467155,2.219043259327
650.0,3.899977111467155,2.21858548867
660.0,3.9002059967956053,2.218890669108
670.0,3.899977111467155,2.21858548867
680.0,3.899900816357671,2.21858548867
690.0,3.899824521248188,2.218890669108
700.0,3.899977111467155,2.218738078889
710.0,3.899977111467155,2.218432898451
720.0,3.900053406576638,2.21858548867
730.0,3.900053406576638,2.218280308232
740.0,3.900053406576638,2.217975127794
750.0,3.899977111467155,2.218432898451
760.0,3.900053406576638,2.218280308232
